,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
679,medal of honor heroes,Shooter,T,PSP,Electronic Arts,6.7,2.66,0.86,1.11,0.01,0.67,2006.0
681,need for speed shift,Racing,E,PS3,Electronic Arts,8.2,2.65,0.69,1.4,0.04,0.52,2009.0
685,medal of honor,Shooter,M,X360,Electronic Arts,7.3,2.64,1.58,0.8,0.04,0.22,2010.0
686,nba 2k12,Sports,E,X360,2K Sports,9.1,2.64,2.32,0.14,0.01,0.17,2011.0
688,nba 2k13,Sports,E,PS3,2K Sports,8.9,2.63,1.74,0.46,0.05,0.39,2012.0
692,fifa soccer 10,Sports,E,X360,EA Sports,8.9,2.62,0.6,1.79,0.01,0.23,2009.0
693,littlebigplanet,Platform,E,PSP,Sony Computer Entertainment,8.8,2.61,0.65,1.27,0.01,0.68,2009.0
699,grand theft auto episodes from liberty city,Adventure,M,X360,Rockstar Games,9.0,2.6,1.08,1.22,0.03,0.27,2009.0
701,mario rabbids kingdom battle,Strategy,E10,NS,Ubisoft,8.3,2.59,1.1,1.08,0.22,0.2,2017.0
703,fifa soccer 09,Sports,E,PS3,Electronic Arts,8.6,2.59,0.49,1.63,0.04,0.43,2008.0
708,wwe smackdown vs raw 2007,Fighting,T,PS2,THQ,8.0,2.58,1.4,0.88,0.03,0.26,2006.0
710,ratchet amp clank up your arsenal,Platform,T,PS2,Sony Computer Entertainment,9.1,2.57,1.31,0.74,0.31,0.22,2004.0
714,ratchet amp clank future tools of destruction,Platform,E10,PS3,Sony Computer Entertainment,8.9,2.57,0.93,1.1,0.08,0.45,2007.0
716,dragon age origins,Role Playing,M,X360,Electronic Arts,8.5,2.56,1.76,0.55,0.03,0.22,2009.0
717,fifa 16,Sports,E,PS3,EA Sports,9.0,2.55,0.43,1.68,0.05,0.38,2015.0
722,crazy taxi,Racing,T,PS2,Acclaim Entertainment,8.2,2.52,1.13,1.12,0.06,0.22,2001.0
724,tomb raider 2013,Action,M,PS3,Square Enix,8.9,2.51,0.6,1.45,0.08,0.38,2013.0
725,midnight club los angeles,Racing,T,PS3,Rockstar Games,8.3,2.5,1.59,0.54,0.05,0.33,2008.0
745,saints row the third,Action,M,PS3,THQ,8.3,2.48,0.86,1.06,0.18,0.37,2011.0
748,pure,Racing,E,X360,Disney Interactive Studios,8.3,2.47,1.38,0.84,0.0,0.25,2008.0
752,resistance 2,Shooter,M,PS3,Sony Computer Entertainment,8.5,2.47,1.15,0.84,0.1,0.38,2008.0
767,sonic adventure,Platform,E,DC,Sega,8.9,2.42,1.26,0.61,0.46,0.08,1999.0
768,tom clancys rainbow six vegas 2,Shooter,M,X360,Ubisoft,8.2,2.42,1.56,0.61,0.02,0.23,2008.0
